strategy,code,buy_date,sell_date,buy_bar_ok,buy_touch,expected_buy_from_raw,recorded_buy,buy_price_ok,sell_bar_ok,raw_sell_open,recorded_sell_open,sell_open_ok,sell_price_market_ok,match
R7,3609,20250217,20250226,True,True,57.3,57.3,True,True,52.3,52.3,True,True,True
R0.5,8096,20250122,20250303,True,True,39.0,39.0,True,True,68.7,68.7,True,True,True
R7,4534,20250226,20250304,True,True,28.95,28.95,True,True,27.95,27.95,True,True,True
R7,3213,20250226,20250304,True,True,135.0,135.0,True,True,137.0,137.0,True,True,True
R7,2641,20250304,20250311,True,True,23.25,23.25,True,True,23.65,23.65,True,True,True
R0.5,2888,20250203,20250408,True,True,12.2,12.2,True,True,11.3,11.3,True,True,True
R7,3027,20250515,20250606,True,True,38.2,38.2,True,True,35.95,35.95,True,True,True
R7,3128,20250606,20250611,True,True,36.75,36.75,True,True,38.0,38.0,True,True,True
R7,2429,20250611,20250612,True,True,77.0,77.0,True,True,69.6,69.6,True,True,True
R7,8489,20250606,20250616,True,True,48.7,48.7,True,True,52.3,52.3,True,True,True
R7,8932,20250611,20250618,True,True,127.5,127.5,True,True,126.5,126.5,True,True,True
R7,8038,20250612,20250620,True,True,38.25,38.25,True,True,38.1,38.1,True,True,True
R7,6499,20250618,20250630,True,True,131.5,131.5,True,True,129.5,129.5,True,True,True
R7,1616,20250620,20250630,True,True,42.65,42.65,True,True,39.6,39.6,True,True,True
R7,3040,20250701,20250704,True,True,68.1,68.1,True,True,69.0,69.0,True,True,True
R7,8021,20250701,20250721,True,True,44.75,44.75,True,True,53.5,53.5,True,True,True
R7,3543,20250721,20250806,True,True,30.6,30.6,True,True,37.25,37.25,True,True,True
R7,3625,20250822,20250902,True,True,23.05,23.05,True,True,23.7,23.7,True,True,True
R7,4555,20250822,20250902,True,True,49.45,49.45,True,True,52.0,52.0,True,True,True
R7,6449,20250822,20250902,True,True,155.0,155.0,True,True,173.0,173.0,True,True,True
R7,6919,20250822,20250905,True,True,190.5,190.5,True,True,245.0,245.0,True,True,True
R7,2634,20250904,20250905,True,True,65.7,65.7,True,True,65.9,65.9,True,True,True
R7,4976,20250905,20250908,True,True,56.3,56.3,True,True,54.5,54.5,True,True,True
R7,5438,20250905,20250908,True,True,29.2,29.2,True,True,28.6,28.6,True,True,True
R0.5,2890,20250610,20250909,True,True,23.95,23.95,True,True,24.85,24.85,True,True,True
R7,3048,20250908,20250911,True,True,46.0,46.0,True,True,44.8,44.8,True,True,True
R7,3704,20250908,20250911,True,True,36.15,36.15,True,True,39.65,39.65,True,True,True
R7,2208,20250911,20250917,True,True,27.6,27.6,True,True,26.8,26.8,True,True,True
R7,6182,20250917,20250926,True,True,31.3,31.3,True,True,31.7,31.7,True,True,True
R7,3016,20250918,20250926,True,True,58.2,58.2,True,True,59.8,59.8,True,True,True
R7,3628,20250930,20251023,True,True,66.1,66.1,True,True,83.5,83.5,True,True,True
R0.5,2337,20250912,20251031,True,True,22.15,22.15,True,True,33.1,33.1,True,True,True
R7,8103,20251023,20251106,True,True,79.5,79.5,True,True,79.1,79.1,True,True,True
R7,1314,20251107,20251111,True,True,9.55,9.55,True,True,8.5,8.5,True,True,True
R7,3060,20251113,20251117,True,True,29.6,29.6,True,True,30.0,30.0,True,True,True
R7,8150,20251117,20251119,True,True,46.95,46.95,True,True,46.1,46.1,True,True,True
R7,8048,20251128,20251202,True,True,66.3,66.3,True,True,64.7,64.7,True,True,True
R7,8390,20251128,20251202,True,True,86.8,86.8,True,True,87.2,87.2,True,True,True
R0.5,1104,20250911,20251210,True,True,31.8,31.8,True,True,31.6,31.6,True,True,True
R0.5,6005,20250911,20251210,True,True,23.55,23.55,True,True,25.3,25.3,True,True,True
R0.5,6163,20251104,20251231,True,True,25.75,25.75,True,True,55.0,55.0,True,True,True
R0.5,2367,20251210,20251231,True,True,27.15,27.15,True,True,27.95,27.95,True,True,True
R0.5,4927,20251210,20251231,True,True,25.15,25.15,True,True,32.2,32.2,True,True,True
