date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20230919,752081.0790000007,0,276000.0,1028081.0790000007,1276947.5497500002,-0.19489169371030346,2
20230920,752081.0790000007,0,273500.0,1025581.0790000007,1276947.5497500002,-0.19684948751357234,2
20230921,873468.7965000006,0,150900.0,1024368.7965000006,1276947.5497500002,-0.197798847180097,2
20230922,873468.7965000006,0,152300.0,1025768.7965000006,1276947.5497500002,-0.19670248265026635,2
20230925,873468.7965000006,0,156860.0,1030328.7965000006,1276947.5497500002,-0.1931314667531039,2
20230926,873468.7965000006,0,158500.0,1031968.7965000006,1276947.5497500002,-0.19184715401815944,2
20230927,873468.7965000006,0,161350.0,1034818.7965000006,1276947.5497500002,-0.18961526908243287,2
20230928,873468.7965000006,0,156450.0,1029918.7965000006,1276947.5497500002,-0.19345254493683994,2
20231002,873468.7965000006,0,147500.0,1020968.7965000006,1276947.5497500002,-0.20046144675254274,2
20231003,873468.7965000006,0,149100.0,1022568.7965000006,1276947.5497500002,-0.1992084587184506,2
20231004,873468.7965000006,0,148450.0,1021918.7965000006,1276947.5497500002,-0.19971748510730059,2
20231005,873468.7965000006,0,143200.0,1016668.7965000006,1276947.5497500002,-0.20382885209416535,2
20231006,873468.7965000006,0,138950.0,1012418.7965000006,1276947.5497500002,-0.20715710155972256,2
20231011,873468.7965000006,0,131400.0,1004868.7965000006,1276947.5497500002,-0.2130696388455947,2
20231012,852133.6927500006,0,153000.0,1005133.6927500006,1276947.5497500002,-0.212862193950891,1
20231013,849960.1902500007,0,154500.0,1004460.1902500007,1276947.5497500002,-0.21338962555928542,1
20231016,849960.1902500007,0,155400.0,1005360.1902500007,1276947.5497500002,-0.21268481979010856,1
20231017,699145.5852500007,0,313200.0,1012345.5852500007,1276947.5497500002,-0.20721443457235433,2
20231018,809907.4062500007,0,176520.0,986427.4062500007,1276947.5497500002,-0.22751141466764024,2
20231019,809907.4062500007,0,189300.0,999207.4062500007,1276947.5497500002,-0.2175031727453295,2
20231020,809907.4062500007,0,189600.0,999507.4062500007,1276947.5497500002,-0.2172682374889372,2
20231023,809907.4062500007,0,192000.0,1001907.4062500007,1276947.5497500002,-0.215388755437799,2
20231024,809907.4062500007,0,185250.0,995157.4062500007,1276947.5497500002,-0.2206747987066252,2
20231025,809907.4062500007,0,191460.0,1001367.4062500007,1276947.5497500002,-0.2158116388993051,2
20231026,805138.6037500007,0,194600.0,999738.6037500007,1276947.5497500002,-0.21708718267580474,1
20231027,996089.8887500007,0,0.0,996089.8887500007,1276947.5497500002,-0.2199445553225624,0
20231030,996089.8887500007,0,0.0,996089.8887500007,1276947.5497500002,-0.2199445553225624,0
20231031,996089.8887500007,0,0.0,996089.8887500007,1276947.5497500002,-0.2199445553225624,0
20231101,996089.8887500007,0,0.0,996089.8887500007,1276947.5497500002,-0.2199445553225624,0
20231102,996089.8887500007,0,0.0,996089.8887500007,1276947.5497500002,-0.2199445553225624,0
20231103,823043.6487500007,0,170400.0,993443.6487500007,1276947.5497500002,-0.2220168722321474,1
20231106,823043.6487500007,0,177000.0,1000043.6487500007,1276947.5497500002,-0.2168482965915174,1
20231107,823043.6487500007,0,180000.0,1003043.6487500007,1276947.5497500002,-0.21449894402759473,1
20231108,855450.5287500008,0,139000.0,994450.5287500008,1276947.5497500002,-0.2212283668622932,1
20231109,855450.5287500008,0,152500.0,1007950.5287500008,1276947.5497500002,-0.210656280324641,1
20231110,716753.1662500007,0,307500.0,1024253.1662500007,1276947.5497500002,-0.19788939925486515,2
20231113,716753.1662500007,0,316500.0,1033253.1662500007,1276947.5497500002,-0.19084134156309696,2
20231114,716753.1662500007,0,328000.0,1044753.1662500007,1276947.5497500002,-0.18183549006805988,2
20231115,716753.1662500007,0,326000.0,1042753.1662500007,1276947.5497500002,-0.18340172511067498,2
20231116,682075.7225000006,0,358800.0,1040875.7225000006,1276947.5497500002,-0.18487198420656947,2
20231117,682075.7225000006,0,354400.0,1036475.7225000006,1276947.5497500002,-0.18831770130032277,2
20231120,682075.7225000006,0,364300.0,1046375.7225000006,1276947.5497500002,-0.18056483783937782,2
20231121,682075.7225000006,0,365150.0,1047225.7225000006,1276947.5497500002,-0.17989918794626636,2
20231122,682075.7225000006,0,368400.0,1050475.7225000006,1276947.5497500002,-0.1773540560020168,2
20231123,682075.7225000006,0,359300.0,1041375.7225000006,1276947.5497500002,-0.1844804254459157,2
20231124,682075.7225000006,0,356400.0,1038475.7225000006,1276947.5497500002,-0.18675146625770767,2
20231127,682075.7225000006,0,350100.0,1032175.7225000006,1276947.5497500002,-0.19168510664194538,2
20231128,682075.7225000006,0,356800.0,1038875.7225000006,1276947.5497500002,-0.18643821924918458,2
20231129,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231130,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231201,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231204,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231205,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231206,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231207,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231208,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231211,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231212,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231213,1030029.1850000006,0,0.0,1030029.1850000006,1276947.5497500002,-0.19336609776833913,0
20231214,917869.5850000007,0,117000.0,1034869.5850000007,1276947.5497500002,-0.18957549571820187,1
20231215,917869.5850000007,0,108500.0,1026369.5850000007,1276947.5497500002,-0.1962319946493163,1
20231218,917869.5850000007,0,116000.0,1033869.5850000007,1276947.5497500002,-0.19035861323950942,1
20231219,917869.5850000007,0,111000.0,1028869.5850000007,1276947.5497500002,-0.1942742008460473,1
20231220,668560.5575000007,0,348000.0,1016560.5575000007,1276947.5497500002,-0.2039136159515541,2
20231221,668560.5575000007,0,332100.0,1000660.5575000007,1276947.5497500002,-0.21636518454034448,2
20231222,668560.5575000007,0,318900.0,987460.5575000007,1276947.5497500002,-0.22670233582160448,2
20231225,820883.5325000007,0,162000.0,982883.5325000007,1276947.5497500002,-0.23028668429456733,1
20231226,820883.5325000007,0,161700.0,982583.5325000007,1276947.5497500002,-0.2305216195509595,1
20231227,820883.5325000007,0,148500.0,969383.5325000007,1276947.5497500002,-0.24085877083221952,1
20231228,967382.3937500006,0,0.0,967382.3937500006,1276947.5497500002,-0.24242589764991207,0
