date,nav,cash,market_value,positions,peak,drawdown
20230907,2937350.201206002,1616800.201206002,1320550.0,3,3185244.605811501,-0.07782586120802593
20230908,2925670.1682060016,1356970.1682060016,1568700.0,3,3185244.605811501,-0.08149277990516146
20230911,2904070.1682060016,1356970.1682060016,1547100.0,3,3185244.605811501,-0.08827404874730638
20230912,2930770.1682060016,1356970.1682060016,1573800.0,3,3185244.605811501,-0.07989164698409945
20230913,2947599.005706002,1132549.0057060018,1815050.0,3,3185244.605811501,-0.07460827330871633
20230914,2970849.005706002,1132549.0057060018,1838300.0,3,3185244.605811501,-0.06730899087446307
20230915,3007804.1425707517,1822604.2425707518,1185199.9,3,3185244.605811501,-0.055707013181030995
20230918,3026367.842570752,1822604.2425707518,1203763.6,3,3185244.605811501,-0.04987898353265463
20230919,3031035.438083252,1221035.438083252,1810000.0,3,3185244.605811501,-0.04841360297632824
20230920,3018785.438083252,1221035.438083252,1797750.0,3,3185244.605811501,-0.052259461463192824
20230921,3034858.214333252,1187858.2143332518,1847000.0,3,3185244.605811501,-0.0472134514265774
20230922,3049108.214333252,1187858.2143332518,1861250.0,3,3185244.605811501,-0.04273969767655117
20230925,3039108.214333252,1187858.2143332518,1851250.0,3,3185244.605811501,-0.04587917399235897
20230926,3017358.214333252,1187858.2143332518,1829500.0,3,3185244.605811501,-0.05270753497924119
20230927,3020608.214333252,1187858.2143332518,1832750.0,3,3185244.605811501,-0.051687205176603634
20230928,3043858.214333252,1187858.2143332518,1856000.0,3,3185244.605811501,-0.04438792274235026
20231002,3073358.214333252,1187858.2143332518,1885500.0,3,3185244.605811501,-0.03512646761071703
20231003,3125108.214333252,1187858.2143332518,1937250.0,3,3185244.605811501,-0.0188796776764113
20231004,3195358.214333252,1187858.2143332518,2007500.0,3,3195358.214333252,0.0
20231005,3190108.214333252,1187858.2143332518,2002250.0,3,3195358.214333252,-0.0016430082788372324
20231006,3134108.214333252,1187858.2143332518,1946250.0,3,3195358.214333252,-0.019168429919767416
20231011,3053358.214333252,1187858.2143332518,1865500.0,3,3195358.214333252,-0.04443946201807292
20231012,3072647.5573332515,2127147.5573332515,945500.0,2,3195358.214333252,-0.03840278578143874
20231013,3071094.1878332514,1217344.1878332514,1853750.0,3,3195358.214333252,-0.03888891891450419
20231016,3042744.1878332514,1217344.1878332514,1825400.0,3,3195358.214333252,-0.04776116362022509
20231017,3031816.7688332517,1792916.7688332514,1238900.0,2,3195358.214333252,-0.05118094264561979
20231018,2975603.5803332515,1133653.5803332515,1841950.0,3,3195358.214333252,-0.06877308247139824
20231019,2953853.5803332515,1133653.5803332515,1820200.0,3,3195358.214333252,-0.07557983105515242
20231020,2929291.3480832516,1666541.3480832516,1262750.0,2,3195358.214333252,-0.08326667885200423
20231023,2987541.3480832516,1666541.3480832516,1321000.0,2,3195358.214333252,-0.06503711080585806
20231024,2988291.3480832516,1666541.3480832516,1321750.0,2,3195358.214333252,-0.06480239533745269
20231025,3053941.3480832516,1666541.3480832516,1387400.0,2,3195358.214333252,-0.0442569680030408
20231026,3070521.3245832515,1753771.3245832515,1316750.0,2,3195358.214333252,-0.03906819873591205
20231027,3060837.280833252,2447337.280833252,613500.0,1,3195358.214333252,-0.04209885855569706
20231030,3057087.280833252,2447337.280833252,609750.0,1,3195358.214333252,-0.04327243589772367
20231031,3061587.280833252,2447337.280833252,614250.0,1,3195358.214333252,-0.041864143087291694
20231101,3066837.280833252,2447337.280833252,619500.0,1,3195358.214333252,-0.04022113480845457
20231102,3078087.280833252,2447337.280833252,630750.0,1,3195358.214333252,-0.03670040278237485
20231103,3048383.4015832515,2423583.4015832515,624800.0,1,3195358.214333252,-0.04599634935786645
20231106,3072583.4015832515,2423583.4015832515,649000.0,1,3195358.214333252,-0.03842286357732161
20231107,3083583.4015832515,2423583.4015832515,660000.0,1,3195358.214333252,-0.03498037004071031
20231108,3074783.4015832515,2423583.4015832515,651200.0,1,3195358.214333252,-0.03773436486999937
20231109,3059383.4015832515,2423583.4015832515,635800.0,1,3195358.214333252,-0.04255385582125515
20231110,3135949.1425832515,1905949.1425832515,1230000.0,2,3195358.214333252,-0.018592304137768467
20231113,3171949.1425832515,1905949.1425832515,1266000.0,2,3195358.214333252,-0.007325961654313318
20231114,3225011.4330832516,1276511.4330832516,1948500.0,3,3225011.4330832516,0.0
20231115,3184641.0090832515,1220991.0090832515,1963650.0,3,3225011.4330832516,-0.012517916552439723
20231116,3211624.2828332516,1184124.2828332516,2027500.0,3,3225011.4330832516,-0.004151039625059916
20231117,3350824.2828332516,1184124.2828332516,2166700.0,3,3350824.2828332516,0.0
