date,cash,market_value,nav,peak_nav,drawdown,holdings,exposure
20230911,1405411.4966840004,279000.0,1684411.4966840004,1995392.189564,-0.15584940870593955,1,0.16563648523490282
20230912,1405411.4966840004,283800.0,1689211.4966840004,1995392.189564,-0.15344386656484865,1,0.1680073812883185
20230913,1405411.4966840004,279600.0,1685011.4966840004,1995392.189564,-0.15554871593830322,1,0.16593358594302515
20230914,1405411.4966840004,283800.0,1689211.4966840004,1995392.189564,-0.15344386656484865,1,0.1680073812883185
20230915,1405411.4966840004,289200.0,1694611.4966840004,1995392.189564,-0.1507376316561213,1,0.17065858491217828
20230918,1405411.4966840004,296400.0,1701811.4966840004,1995392.189564,-0.14712931844448485,1,0.17416735083617596
20230919,1405411.4966840004,297600.0,1703011.4966840004,1995392.189564,-0.14652793290921207,1,0.17474926069463917
20230920,1405411.4966840004,296400.0,1701811.4966840004,1995392.189564,-0.14712931844448485,1,0.17416735083617596
20230921,1483997.8971840004,223000.0,1706997.8971840004,1995392.189564,-0.14453012991045866,2,0.1306387080897279
20230922,1483997.8971840004,219500.0,1703497.8971840004,1995392.189564,-0.14628417105500424,2,0.1288525218392395
20230925,1483997.8971840004,224200.0,1708197.8971840004,1995392.189564,-0.143928744375186,2,0.13124942980529267
20230926,1483997.8971840004,225000.0,1708997.8971840004,1995392.189564,-0.14352782068500414,2,0.13165610114017315
20230927,1483997.8971840004,234500.0,1718497.8971840004,1995392.189564,-0.13876685186409488,2,0.13645637878536895
20230928,1483997.8971840004,234500.0,1718497.8971840004,1995392.189564,-0.13876685186409488,2,0.13645637878536895
20231002,1483997.8971840004,224500.0,1708497.8971840004,1995392.189564,-0.14377839799136782,2,0.1314019761862323
20231003,1483997.8971840004,227500.0,1711497.8971840004,1995392.189564,-0.14227493415318593,2,0.13292449869457354
20231004,1483997.8971840004,226500.0,1710497.8971840004,1995392.189564,-0.1427760887659132,2,0.13241758459503977
20231005,1483997.8971840004,226500.0,1710497.8971840004,1995392.189564,-0.1427760887659132,2,0.13241758459503977
20231006,1483997.8971840004,220500.0,1704497.8971840004,1995392.189564,-0.14578301644227687,2,0.12936360928592983
20231011,1483997.8971840004,214000.0,1697997.8971840004,1995392.189564,-0.14904052142500424,2,0.1260307803413082
20231012,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231013,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231016,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231017,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231018,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231019,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231020,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231023,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231024,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231025,1697969.8431840003,0.0,1697969.8431840003,1995392.189564,-0.14905458081650969,0,0.0
20231026,1539734.6676840005,166800.0,1706534.6676840005,1995392.189564,-0.14476227951113496,1,0.09774193466949621
20231027,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231030,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231031,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231101,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231102,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231103,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231106,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231107,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231108,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231109,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231110,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231113,1706190.4971840004,0.0,1706190.4971840004,1995392.189564,-0.14493476214477463,0,0.0
20231114,1573677.2951840004,134000.0,1707677.2951840004,1995392.189564,-0.144189646468881,1,0.07846915829935049
20231115,1457177.7731840005,242400.0,1699577.7731840005,1995392.189564,-0.1482487592800671,2,0.14262365854896195
20231116,1288865.9895440005,412278.0,1701143.9895440005,1995392.189564,-0.1474638427267242,3,0.2423533825085042
20231117,1281913.2155440005,431430.0,1713343.2155440005,1995392.189564,-0.1413501443451215,3,0.25180594062294603
20231120,1281913.2155440005,437812.0,1719725.2155440005,1995392.189564,-0.1381517756066959,3,0.2545825321643068
20231121,1281913.2155440005,439648.0,1721561.2155440005,1995392.189564,-0.13723165573772866,3,0.25537750039348706
20231122,1281913.2155440005,441732.0,1723645.2155440005,1995392.189564,-0.136187249524805,3,0.25627779778368415
20231123,1281913.2155440005,431720.0,1713633.2155440005,1995392.189564,-0.14120480950743053,3,0.2519325583117555
20231124,1281913.2155440005,428496.0,1710409.2155440005,1995392.189564,-0.14282053197886335,3,0.2505225042673286
20231127,1281913.2155440005,422574.0,1704487.2155440005,1995392.189564,-0.1457883695954343,3,0.24791855060357973
20231128,1281913.2155440005,429546.0,1711459.2155440005,1995392.189564,-0.14229431963549966,3,0.25098231736913784
20231129,1437933.4300240006,268950.0,1706883.4300240006,1995392.189564,-0.1445874956556984,2,0.15756787796353397
20231130,1437933.4300240006,269100.0,1707033.4300240006,1995392.189564,-0.1445123224637893,2,0.1576419039410473
20231201,1437933.4300240006,277400.0,1715333.4300240006,1995392.189564,-0.14035273917815283,2,0.1617178299825467
20231204,1437933.4300240006,290200.0,1728133.4300240006,1995392.189564,-0.1339379601352435,2,0.16792684809990027
20231205,1293159.7542740006,432200.0,1725359.7542740006,1995392.189564,-0.1353280005315658,3,0.25049848237700534
20231206,1293159.7542740006,434900.0,1728059.7542740006,1995392.189564,-0.13397488307720218,3,0.25166953800316466
20231207,1293159.7542740006,428600.0,1721759.7542740006,1995392.189564,-0.13713215713738403,3,0.24893136161190155
20231208,1293159.7542740006,428000.0,1721159.7542740006,1995392.189564,-0.13743284990502036,3,0.24866953746576181
20231211,1293159.7542740006,426200.0,1719359.7542740006,1995392.189564,-0.13833492820792959,3,0.24788296861116357
20231212,1293159.7542740006,421600.0,1714759.7542740006,1995392.189564,-0.14064023942647508,3,0.24586534583003325
20231213,1293159.7542740006,419300.0,1712459.7542740006,1995392.189564,-0.14179289503574777,3,0.24485246964403126
20231214,1293159.7542740006,416550.0,1709709.7542740006,1995392.189564,-0.14317107022074782,3,0.243637844937535
20231215,1293159.7542740006,414000.0,1707159.7542740006,1995392.189564,-0.14444901448320246,3,0.24250805993025573
20231218,1293159.7542740006,409950.0,1703109.7542740006,1995392.189564,-0.14647869066474795,3,0.24070674187099173
20231219,1293159.7542740006,409750.0,1702909.7542740006,1995392.189564,-0.14657892158729335,3,0.24061756588779903
20231220,1293159.7542740006,412000.0,1705159.7542740006,1995392.189564,-0.145451323708657,3,0.24161958958233545
20231221,1293159.7542740006,417800.0,1710959.7542740006,1995392.189564,-0.14254462695483872,3,0.24419043110530797
20231222,1293159.7542740006,421450.0,1714609.7542740006,1995392.189564,-0.14071541261838416,3,0.24579937151847722
20231225,1293159.7542740006,421100.0,1714259.7542740006,1995392.189564,-0.14089081673283865,3,0.2456453865583156
20231226,1293159.7542740006,430700.0,1723859.7542740006,1995392.189564,-0.13607973245065674,3,0.24984631083367234
20231227,1293159.7542740006,434100.0,1727259.7542740006,1995392.189564,-0.13437580676738392,3,0.25132294023863266
20231228,1293159.7542740006,429500.0,1722659.7542740006,1995392.189564,-0.13668111798592952,3,0.24932375585741184
20231229,1293159.7542740006,433000.0,1726159.7542740006,1995392.189564,-0.13492707684138394,3,0.250845843745276
20240102,1293159.7542740006,434000.0,1727159.7542740006,1995392.189564,-0.13442592222865668,3,0.2512795929421299
20240103,1293159.7542740006,425350.0,1718509.7542740006,1995392.189564,-0.13876090962874776,3,0.2475109605529663
20240104,1293159.7542740006,424500.0,1717659.7542740006,1995392.189564,-0.13918689104956594,3,0.24713858431143276
20240105,1293159.7542740006,432700.0,1725859.7542740006,1995392.189564,-0.1350774232252021,3,0.25071562097003613
20240108,1293159.7542740006,433050.0,1726209.7542740006,1995392.189564,-0.13490201911074762,3,0.25086754314056675
20240109,1293159.7542740006,427350.0,1720509.7542740006,1995392.189564,-0.13775860040329313,3,0.24838568856607723
20240110,1293159.7542740006,421300.0,1714459.7542740006,1995392.189564,-0.14079058581029325,3,0.24573338566258868
20240111,1293159.7542740006,423050.0,1716209.7542740006,1995392.189564,-0.13991356523802045,3,0.24650250294082535
20240112,1293159.7542740006,419350.0,1712509.7542740006,1995392.189564,-0.14176783730511144,3,0.2448745176215237
20240115,1293159.7542740006,419950.0,1713109.7542740006,1995392.189564,-0.1414671445374751,3,0.24513899296427202
20240116,1293159.7542740006,429350.0,1722509.7542740006,1995392.189564,-0.1367562911778386,3,0.24925838529196687
20240117,1293159.7542740006,421600.0,1714759.7542740006,1995392.189564,-0.14064023942647508,3,0.24586534583003325
20240118,1293159.7542740006,425750.0,1718909.7542740006,1995392.189564,-0.13856044778365684,3,0.24768606899890444
20240119,1293159.7542740006,432250.0,1725409.7542740006,1995392.189564,-0.13530294280092947,3,0.25052020189944824
20240122,1293159.7542740006,434350.0,1727509.7542740006,1995392.189564,-0.1342505181142022,3,0.25143128652407465
