strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20240502,6177,62.0,65.0,63.6,MISSED,MISSED,,,True,True,True,
R7,20240502,5508,200.5,210.0,206.5,MISSED,MISSED,,,True,True,True,
R7,20240502,6552,48.5,49.5,48.1,FILLED,FILLED,48.5,48.5,True,True,True,
R7,20240503,5508,220.5,225.5,219.5,FILLED,FILLED,220.5,220.5,True,True,True,
R7,20240507,3466,54.1,55.6,54.1,FILLED,FILLED,54.1,54.1,True,True,True,
R7,20240514,4562,28.85,28.6,28.25,FILLED,FILLED,28.75,28.6,True,False,False,
R7,20240514,2615,68.60000000000001,70.3,67.9,FILLED,FILLED,68.6,68.60000000000001,True,True,True,
R7,20240515,6419,106.5,114.0,114.0,MISSED,MISSED,,,True,True,True,
R7,20240517,5392,37.6,40.0,36.15,FILLED,FILLED,37.6,37.6,True,True,True,
R7,20240517,4549,131.5,134.5,122.5,FILLED,FILLED,131.5,131.5,True,True,True,
R7,20240612,2537,24.25,24.9,23.6,FILLED,FILLED,24.25,24.25,True,True,True,
R7,20240617,5484,59.2,66.5,54.8,FILLED,FILLED,59.2,59.2,True,True,True,
R7,20240617,3374,171.5,176.0,173.0,MISSED,MISSED,,,True,True,True,
R7,20240620,8085,92.2,94.0,88.0,FILLED,FILLED,92.2,92.2,True,True,True,
R7,20240620,2438,41.650000000000006,45.0,43.0,MISSED,MISSED,,,True,True,True,
R7,20240621,6877,55.5,57.0,53.0,FILLED,FILLED,55.5,55.5,True,True,True,
R7,20240625,2438,55.2,55.4,55.0,FILLED,FILLED,55.2,55.2,True,True,True,
R7,20240626,6895,200.5,200.5,194.0,FILLED,FILLED,200.5,200.5,True,True,True,
R7,20240717,1540,31.8,32.5,32.0,MISSED,MISSED,,,True,True,True,
R7,20240719,1540,34.2,35.15,32.8,FILLED,FILLED,34.2,34.2,True,True,True,
R7,20240719,6492,60.900000000000006,62.0,58.0,FILLED,FILLED,60.9,60.900000000000006,True,True,True,
R7,20240719,2477,29.650000000000002,30.5,28.3,FILLED,FILLED,29.65,29.650000000000002,True,True,True,
R7,20240731,2524,100.0,109.0,102.0,MISSED,MISSED,,,True,True,True,
R7,20240731,4907,115.0,120.0,112.5,FILLED,FILLED,115.0,115.0,True,True,True,
R7,20240802,4513,69.0,70.0,68.5,FILLED,FILLED,69.0,69.0,True,True,True,
R7,20240802,2524,111.0,112.5,110.5,FILLED,FILLED,111.0,111.0,True,True,True,
R7,20240819,3230,32.550000000000004,32.7,32.7,MISSED,MISSED,,,True,True,True,
R7,20240819,8937,46.050000000000004,47.0,45.55,FILLED,FILLED,46.05,46.050000000000004,True,True,True,
R7,20240829,3550,23.85,24.35,23.85,MISSED,FILLED,,23.85,False,True,False,
R7,20240829,6151,46.35,48.8,46.65,MISSED,MISSED,,,True,True,True,
R7,20240918,8249,54.0,58.7,54.3,MISSED,MISSED,,,True,True,True,
R7,20240918,2477,34.5,35.1,32.15,FILLED,FILLED,34.5,34.5,True,True,True,
R7,20240925,1721,24.85,25.55,25.1,MISSED,MISSED,,,True,True,True,
R7,20240925,2033,21.85,23.0,22.05,MISSED,MISSED,,,True,True,True,
R7,20240925,4716,29.85,30.3,29.85,MISSED,FILLED,,29.85,False,True,False,
R7,20241001,4527,59.300000000000004,60.8,57.3,FILLED,FILLED,59.3,59.300000000000004,True,True,True,
