,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-12-27,934629.1082224997,821562.8551354992,1043841.1862062982,896280.7182051501,1176384.5065000001
2021-12-28,934629.1082224997,821562.8551354992,1044741.1862062982,896175.7182051501,1185699.5065000001
2021-12-29,934629.1082224997,821562.8551354992,1054191.1862062982,898745.7182051501,1190964.5065000001
2021-12-30,934629.1082224997,821562.8551354992,1046241.1862062982,899175.7182051501,1187319.5065000001
2022-01-03,934629.1082224997,821562.8551354992,1046091.1862062982,900070.7182051501,1194609.5065000001
2022-01-04,934629.1082224997,821562.8551354992,1048941.1862062982,899160.7182051501,1220529.5065000001
2022-01-05,929614.3080674998,821562.8551354992,1045059.8708344785,898680.7182051501,1218099.5065000001
2022-01-06,938289.2678874998,821562.8551354992,1037967.0499426301,897075.7182051501,1206759.5065000001
2022-01-07,952380.5130874998,821562.8551354992,1030662.0499426301,893645.66014515,1196229.5065000001
2022-01-10,986048.2500374997,821562.8551354992,1039547.0499426301,902383.20030765,1203924.5065000001
2022-01-11,968168.2500374997,821927.6776054992,1032817.0499426301,899699.37318265,1209999.5065000001
2022-01-12,955421.7117149998,819824.7437554993,1025863.9473276301,890321.7524826501,1220124.5065000001
2022-01-13,950965.3729399998,815896.7043654993,1024423.9473276301,886992.74698265,1226199.5065000001
2022-01-14,950965.3729399998,815896.7043654993,1021843.9473276301,882652.74698265,1226199.5065000001
2022-01-17,950965.3729399998,815896.7043654993,1018923.9473276301,881242.83510765,1239969.5065000001
2022-01-18,950965.3729399998,815896.7043654993,1021393.9473276301,881562.83510765,1226199.5065000001
2022-01-19,950965.3729399998,815896.7043654993,1019633.9473276301,879967.83510765,1211619.5065000001
2022-01-20,950965.3729399998,815896.7043654993,1023343.9473276301,882422.83510765,1216479.5065000001
2022-01-21,950965.3729399998,815896.7043654993,1018393.9473276301,876272.83510765,1164234.5065000001
2022-01-24,950965.3729399998,815896.7043654993,1013863.9473276301,873552.83510765,1175169.5065000001
2022-01-25,950965.3729399998,815896.7043654993,1001042.9621093746,870772.83510765,1156134.5065000001
2022-01-26,950965.3729399998,815896.7043654993,1005072.9621093746,867718.42392015,1155324.5065000001
2022-02-07,950965.3729399998,815896.7043654993,1013587.9621093746,871558.42392015,1161399.5065000001
2022-02-08,950965.3729399998,815896.7043654993,1014897.9621093746,872038.42392015,1166259.5065000001
2022-02-09,952230.3833524998,815896.7043654993,1016912.9621093746,873232.88953265,1170309.5065000001
2022-02-10,950370.3833524998,815896.7043654993,1024452.9621093746,873932.88953265,1183674.5065000001
2022-02-11,943507.4778799998,815896.7043654993,1029713.7112843746,871792.84374015,1182864.5065000001
2022-02-14,943507.4778799998,816790.0025654993,1026548.7112843746,870393.37998015,1164639.5065000001
2022-02-15,943507.4778799998,814366.2232954993,1044038.7112843746,867592.38692015,1159374.5065000001
2022-02-16,943507.4778799998,813330.0113554993,1050383.7112843746,867721.0403201501,1178409.5065000001
2022-02-17,943507.4778799998,813330.0113554993,1060538.7112843746,868361.0403201501,1179219.5065000001
2022-02-18,943507.4778799998,813330.0113554993,1055018.7112843746,868521.0403201501,1175979.5065000001
2022-02-21,943507.4778799998,813330.0113554993,1041188.7112843746,869481.0403201501,1173549.5065000001
2022-02-22,943507.4778799998,813330.0113554993,1033538.7112843746,866121.0403201501,1157754.5065000001
2022-02-23,943507.4778799998,813330.0113554993,1040648.7112843746,866761.0403201501,1160994.5065000001
2022-02-24,943507.4778799998,813330.0113554993,1031108.7112843746,863561.0403201501,1133049.5065000001
2022-02-25,943507.4778799998,813330.0113554993,1032563.7112843746,864041.0403201501,1130619.5065000001
2022-03-01,943507.4778799998,813330.0113554993,1037888.7112843746,864841.0403201501,1146414.5065000001
2022-03-02,943507.4778799998,813330.0113554993,1039538.7112843746,865641.0403201501,1139934.5065000001
2022-03-03,943507.4778799998,813330.0113554993,1041818.7112843746,865641.0403201501,1142364.5065000001
2022-03-04,942930.8076324997,813197.0087529992,1036643.7112843746,864373.39132765,1130214.5065000001
2022-03-07,942432.1179574997,805117.1010204992,1028003.7112843746,856771.9247376501,1094169.5065000001
2022-03-08,930592.1179574997,804802.7949904993,1020263.7112843746,851151.9247376501,1071084.5065000001
2022-03-09,929868.5374774997,804699.8917454993,1027538.7112843746,851725.8058376501,1082019.5065000001
2022-03-10,929868.5374774997,804685.9267454994,1033793.7112843746,852365.8058376501,1113204.5065000001
2022-03-11,929868.5374774997,804408.4025054993,1027568.7112843746,852525.8058376501,1097409.5065000001
2022-03-14,929868.5374774997,804408.4025054993,1041953.7112843746,853485.8058376501,1097409.5065000001
2022-03-15,929868.5374774997,804408.4025054993,1034258.7112843746,852205.8058376501,1075134.5065000001
2022-03-16,929868.5374774997,804408.4025054993,1028033.7112843746,850445.8058376501,1079589.5065000001
