,v3_original_large_layer,v3_original_combined_three_layer,pullback_stable_base_large_layer,pullback_stable_base_combined_three_layer,0050_BH
2025-09-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1855569.5065000001
2025-09-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1868529.5065000001
2025-09-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1902549.5065000001
2025-09-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1900929.5065000001
2025-09-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1894449.5065000001
2025-09-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1863669.5065000001
2025-09-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1881489.5065000001
2025-10-01,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1891209.5065000001
2025-10-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1926849.5065000001
2025-10-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1954389.5065000001
2025-10-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2007849.5065000001
2025-10-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1990029.5065000001
2025-10-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2004609.5065000001
2025-10-13,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1985169.5065000001
2025-10-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1975449.5065000001
2025-10-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2011089.5065000001
2025-10-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2049969.5065000001
2025-10-17,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2019189.5065000001
2025-10-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2053209.5065000001
2025-10-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2056449.5065000001
2025-10-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2040249.5065000001
2025-10-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2028909.5065000001
2025-10-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2075889.5065000001
2025-10-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2061309.5065000001
2025-10-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2095329.5065000001
2025-10-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2095329.5065000001
2025-10-31,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2106669.5065
2025-11-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2087229.5065000001
2025-11-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2080749.5065000001
2025-11-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2054829.5065000001
2025-11-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2059689.5065000001
2025-11-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2035389.5065000001
2025-11-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2061309.5065000001
2025-11-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2046729.5065000001
2025-11-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2056449.5065000001
2025-11-13,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2046729.5065000001
2025-11-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2007849.5065000001
2025-11-17,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2014329.5065000001
2025-11-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1967349.5065000001
2025-11-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1954389.5065000001
2025-11-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2014329.5065000001
2025-11-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1947909.5065000001
2025-11-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1938189.5065000001
2025-11-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1964109.5065000001
2025-11-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1996509.5065000001
2025-11-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2014329.5065000001
2025-11-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2028909.5065000001
2025-12-01,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2001369.5065000001
2025-12-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2007849.5065000001
2025-12-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2027289.5065000001
2025-12-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2024049.5065000001
2025-12-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2041869.5065000001
2025-12-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2072649.5065000001
2025-12-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2069409.5065000001
2025-12-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2083989.5065000001
2025-12-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2061309.5065000001
2025-12-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2064549.5065000001
2025-12-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2043489.5065000001
2025-12-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2025669.5065000001
2025-12-17,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2014329.5065000001
2025-12-18,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2014329.5065000001
2025-12-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2033769.5065000001
2025-12-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2062929.5065000001
2025-12-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2072649.5065000001
2025-12-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2077509.5065000001
2025-12-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2095329.5065000001
2025-12-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2122869.5065
2025-12-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2119629.5065
2025-12-31,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2134209.5065
2026-01-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2177949.5065
2026-01-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2260569.5065
2026-01-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2289729.5065
2026-01-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2271909.5065
2026-01-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2280009.5065
2026-01-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2271909.5065
2026-01-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2288109.5065
2026-01-13,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2299449.5065
2026-01-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2301069.5065
2026-01-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2297829.5065
2026-01-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2341569.5065
2026-01-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2361009.5065
2026-01-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2361009.5065
2026-01-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2336709.5065
2026-01-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2335089.5065
2026-01-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2349669.5065
2026-01-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2349669.5065
2026-01-27,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2375589.5065
2026-01-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2412849.5065
2026-01-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2398269.5065
2026-01-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2361009.5065
2026-02-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2325369.5065
2026-02-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2372349.5065
2026-02-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2370729.5065
2026-02-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2341569.5065
2026-02-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2338329.5065
2026-02-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2404749.5065
2026-02-10,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2454969.5065
2026-02-11,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2510049.5065
2026-02-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2516529.5065
2026-02-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2581329.5065
2026-02-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2636409.5065
2026-02-26,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2638029.5065
2026-03-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2612109.5065
2026-03-03,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2560269.5065
2026-03-04,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2458209.5065
2026-03-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,2516529.5065
