,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-11-22,912925.5839999998,763512.1554499995,1019745.7340000002,735238.2042500002,1162614.5065000001
2021-11-23,900998.9931249998,761578.4281999995,1007885.7340000002,731130.5237500002,1151679.5065000001
2021-11-24,895519.4588749998,761578.4281999995,1005804.5850000002,732280.5237500002,1146819.5065000001
2021-11-25,889505.1717499997,761578.4281999995,1002034.5850000002,729187.16625,1146414.5065000001
2021-11-26,883469.8767499997,761578.4281999995,992824.5850000002,731005.4970000001,1127784.5065000001
2021-11-29,883469.8767499997,761578.4281999995,988129.5850000002,723003.937,1127784.5065000001
2021-11-30,883469.8767499997,761578.4281999995,998664.5850000002,722712.8720000001,1126569.5065000001
2021-12-01,883469.8767499997,761578.4281999995,999994.5850000002,722562.8720000001,1145199.5065000001
2021-12-02,883469.8767499997,761578.4281999995,991359.5850000002,718690.4820000001,1157349.5065000001
2021-12-03,883469.8767499997,761578.4281999995,995314.5850000002,719490.4820000001,1156944.5065000001
2021-12-06,883469.8767499997,761578.4281999995,1002194.5850000002,718090.4820000001,1153704.5065000001
2021-12-07,883469.8767499997,761578.4281999995,1008754.5850000002,717289.057,1157349.5065000001
2021-12-08,883469.8767499997,761578.4281999995,1004464.5850000002,717289.057,1161804.5065000001
2021-12-09,871407.9949999996,761519.9394499995,1010519.5850000002,717289.057,1158969.5065000001
2021-12-10,866607.9949999996,758161.0081999996,1010374.5850000002,716389.28375,1158564.5065000001
2021-12-13,861047.8518749997,754222.3556999996,1017544.5850000002,713282.272,1154919.5065000001
2021-12-14,861047.8518749997,753779.1596999996,1005105.1993750001,711856.1045,1143579.5065000001
2021-12-15,861047.8518749997,752035.6695749996,991590.5142500001,715056.1045,1145199.5065000001
2021-12-16,861047.8518749997,752035.6695749996,989665.5142500001,713556.1045,1159374.5065000001
2021-12-17,861047.8518749997,752035.6695749996,974765.5142500001,705443.470375,1158159.5065000001
2021-12-20,861047.8518749997,752035.6695749996,974340.5142500001,699952.7715,1148034.5065000001
2021-12-21,861047.8518749997,752035.6695749996,978865.5142500001,700552.7715,1157754.5065000001
2021-12-22,861047.8518749997,752035.6695749996,976640.5142500001,699652.7715,1157754.5065000001
2021-12-23,861047.8518749997,752035.6695749996,989790.5142500001,699152.7715,1164234.5065000001
2021-12-24,861047.8518749997,752035.6695749996,987140.5142500001,698652.7715,1167474.5065000001
2021-12-27,861047.8518749997,752035.6695749996,996415.5142500001,698252.7715,1176384.5065000001
2021-12-28,861047.8518749997,752035.6695749996,1014149.3357500001,698852.7715,1185699.5065000001
2021-12-29,861047.8518749997,752035.6695749996,1038164.3357500001,700952.7715,1190964.5065000001
2021-12-30,861331.9256249997,752147.5485749996,1038394.3357500001,698852.7715,1187319.5065000001
2022-01-03,860881.9256249997,750873.8640749996,1018208.8015000002,697358.7315,1194609.5065000001
2022-01-04,857913.0056249996,750873.8640749996,1022633.8015000002,697258.7315,1220529.5065000001
2022-01-05,853346.2533749996,750873.8640749996,1000003.8015000002,691930.6215,1218099.5065000001
2022-01-06,861206.0153749996,750873.8640749996,977509.5540000001,689639.909,1206759.5065000001
2022-01-07,874304.9653749996,750379.9915749996,968014.5540000001,690420.289,1196229.5065000001
2022-01-10,893214.9653749996,747796.9665749996,967376.6490000001,705694.459,1203924.5065000001
2022-01-11,872474.9653749996,747796.9665749996,965441.6490000001,700374.459,1209999.5065000001
2022-01-12,867863.6474999995,747796.9665749996,966191.6490000001,695257.7885,1220124.5065000001
2022-01-13,867863.6474999995,747796.9665749996,965351.6490000001,691857.7885,1226199.5065000001
2022-01-14,867863.6474999995,747796.9665749996,959831.6490000001,687357.7885,1226199.5065000001
2022-01-17,867863.6474999995,747796.9665749996,960385.7722500002,684130.5135,1239969.5065000001
2022-01-18,867863.6474999995,747796.9665749996,959890.7722500002,684480.5135,1226199.5065000001
2022-01-19,867863.6474999995,747796.9665749996,959890.7722500002,681680.5135,1211619.5065000001
2022-01-20,867863.6474999995,747796.9665749996,960880.7722500002,683430.5135,1216479.5065000001
2022-01-21,867863.6474999995,745453.8245749996,958405.7722500002,680280.5135,1164234.5065000001
2022-01-24,867863.6474999995,738728.2240749997,956755.7722500002,680498.8705,1175169.5065000001
2022-01-25,867863.6474999995,738438.6083249997,948829.8652500001,671279.62975,1156134.5065000001
2022-01-26,867863.6474999995,734770.4618249998,951964.8652500001,671419.945,1155324.5065000001
2022-02-07,867863.6474999995,734770.4618249998,959059.8652500001,675329.945,1161399.5065000001
2022-02-08,867863.6474999995,734770.4618249998,965164.8652500001,676249.945,1166259.5065000001
2022-02-09,867863.6474999995,734770.4618249998,968464.8652500001,677196.452125,1170309.5065000001
2022-02-10,867863.6474999995,734770.4618249998,975559.8652500001,680036.452125,1183674.5065000001
2022-02-11,867863.6474999995,734770.4618249998,984469.8652500001,685300.9817499999,1182864.5065000001
2022-02-14,867863.6474999995,734770.4618249998,979519.8652500001,684150.9817499999,1164639.5065000001
2022-02-15,867863.6474999995,734770.4618249998,996184.8652500001,695650.9817499999,1159374.5065000001
2022-02-16,867863.6474999995,734770.4618249998,1007404.8652500001,699560.9817499999,1178409.5065000001
2022-02-17,867863.6474999995,734770.4618249998,1017469.8652500001,703930.9817499999,1179219.5065000001
2022-02-18,867863.6474999995,734770.4618249998,1015285.3612500002,700250.9817499999,1175979.5065000001
2022-02-21,867863.6474999995,734770.4618249998,1001985.3612500002,691510.9817499999,1173549.5065000001
2022-02-22,867863.6474999995,734770.4618249998,993425.3612500002,687370.9817499999,1157754.5065000001
2022-02-23,867863.6474999995,734770.4618249998,992057.3192500002,686260.6797499999,1160994.5065000001
2022-02-24,867863.6474999995,732592.5120499998,979057.3192500002,684267.164025,1133049.5065000001
2022-02-25,867863.6474999995,725473.9034249999,984837.3192500002,677728.5824,1130619.5065000001
2022-03-01,867863.6474999995,724952.833425,996457.3192500002,677500.6142749999,1146414.5065000001
2022-03-02,867863.6474999995,723444.687425,993712.3192500002,676840.8004,1139934.5065000001
2022-03-03,867863.6474999995,723444.687425,997467.3192500002,676840.8004,1142364.5065000001
2022-03-04,867863.6474999995,723444.687425,997242.3192500002,676840.8004,1130214.5065000001
2022-03-07,867863.6474999995,723444.687425,984932.3192500002,676840.8004,1094169.5065000001
2022-03-08,867863.6474999995,723444.687425,983118.0392500001,676840.8004,1071084.5065000001
2022-03-09,867863.6474999995,723444.687425,983118.0392500001,676840.8004,1082019.5065000001
2022-03-10,867863.6474999995,723444.687425,983438.0392500001,676840.8004,1113204.5065000001
2022-03-11,867863.6474999995,723444.687425,984078.0392500001,676840.8004,1097409.5065000001
2022-03-14,867863.6474999995,723444.687425,988558.0392500001,676840.8004,1097409.5065000001
2022-03-15,867863.6474999995,723444.687425,985998.0392500001,676840.8004,1075134.5065000001
2022-03-16,867863.6474999995,723469.216925,995918.0392500001,676840.8004,1079589.5065000001
2022-03-17,867863.6474999995,723745.799425,1000078.0392500001,676840.8004,1113609.5065000001
2022-03-18,867863.6474999995,723555.14305,1001678.0392500001,676987.2039,1111179.5065000001
2022-03-21,867863.6474999995,722755.391175,991438.0392500001,676508.7771499999,1118469.5065000001
2022-03-22,867863.6474999995,722755.391175,1002958.0392500001,676508.7771499999,1116849.5065000001
2022-03-23,869183.9762499995,722755.391175,1010638.0392500001,676743.8068999999,1127379.5065000001
2022-03-24,870483.9762499995,722755.391175,1011918.0392500001,676965.5343999999,1126569.5065000001
2022-03-25,868663.9762499995,722755.391175,1015118.0392500001,676405.5343999999,1128189.5065000001
2022-03-28,865596.6847499994,722755.391175,1004238.0392500001,676269.5888999999,1116039.5065000001
2022-03-29,865596.6847499994,722755.391175,1012558.0392500001,675909.5888999999,1117254.5065000001
2022-03-30,865596.6847499994,722755.391175,1010318.0392500001,675884.5888999999,1131024.5065000001
2022-03-31,865596.6847499994,722755.391175,1007758.0392500001,675714.5888999999,1127379.5065000001
2022-04-01,865596.6847499994,722755.391175,1010958.0392500001,676064.5888999999,1118064.5065000001
2022-04-06,865596.6847499994,722755.391175,1008718.0392500001,676084.5888999999,1112394.5065000001
2022-04-07,865596.6847499994,722755.391175,1002318.0392500001,675624.5888999999,1092549.5065000001
2022-04-08,865596.6847499994,722755.391175,1005518.0392500001,676019.5888999999,1098624.5065000001
2022-04-11,865596.6847499994,722455.025925,1006478.0392500001,676059.5176499998,1081614.5065000001
2022-04-12,865596.6847499994,721465.391425,1004558.0392500001,675657.1196499998,1082424.5065000001
2022-04-13,865596.6847499994,720696.523925,1002318.0392500001,675473.2705249997,1102674.5065000001
2022-04-14,865580.1697499994,720709.119175,1001678.0392500001,675418.9137749997,1098624.5065000001
2022-04-15,864826.9027499994,720398.81355,997198.0392500001,675246.1676499996,1079994.5065000001
2022-04-18,864826.9027499994,719726.2762999999,995918.0392500001,674231.4028999996,1074324.5065000001
2022-04-19,864826.9027499994,719726.2762999999,995598.0392500001,674133.1602749997,1077969.5065000001
2022-04-20,864826.9027499994,719726.2762999999,996238.0392500001,673613.1602749997,1083234.5065000001
2022-04-21,864826.9027499994,719726.2762999999,993358.0392500001,672933.1602749997,1084044.5065000001
2022-04-22,864826.9027499994,719726.2762999999,995598.0392500001,673153.1602749997,1074729.5065000001
2022-04-25,864826.9027499994,719726.2762999999,993678.0392500001,672553.1602749997,1055694.5065000001
2022-04-26,864826.9027499994,719726.2762999999,994638.0392500001,672353.4502749997,1055694.5065000001
